2401,FALSE,Unlimited Wireless Service - MetroPCS,Servicio celular sin límites - MetroPCS
2402,FALSE,metropcs,metropcs
2403,FALSE,metro pcs,metro pcs
2404,FALSE,unlimited wireless service,servicio celular sin límites
2405,FALSE,MetroPCS provides the freedom to enjoy flexible wireless calling with no signed contracts and truly unlimited local and long-distance service.,MetroPCS proporciona la libertad de disfrutar de llamadas celulares sin contrato y servicio local y de larga distancia verdaderamente sin límites.
2406,FALSE,"Pay by the month, not by the minute.","Paga por mes, no por minuto."
2407,FALSE,MetroPCS Logo,Logotipo de MetroPCS
2408,FALSE,MetroPCS,MetroPCS
2409,FALSE,Home,Inicio
2410,FALSE,Investor Relations,Inversionistas
2411,FALSE,Store Locator,Localizador de tiendas
2412,FALSE,contact,contacto
2413,FALSE,Search Button,Botón de búsqueda
2414,FALSE,Phones,Teléfonos
2415,FALSE,Plans,Planes
2416,FALSE,Coverage,Cobertura
2417,FALSE,Features,Funciones
2418,FALSE,Downloads,Descargas
2419,FALSE,Support,Asistencia
2420,FALSE,The MetroPromise,La promesa Metro
2421,FALSE,Promotions/Rebates,Promoción/Reembolso
2422,FALSE,My Account,Mi cuenta
2423,FALSE,How-To Guide,Guía de uso
2424,FALSE,Recycling,Reciclaje
2425,FALSE,Number Portability,Portabilidad del número
2426,FALSE,Support FAQ,Preguntas frecuentes
2427,FALSE,Customer Survey,Encuesta para clientes
2428,FALSE,About MetroPCS,Sobre MetroPCS
2429,FALSE,Management,Administración
2430,FALSE,Careers,Empleos
2431,FALSE,Dealers,Distribuidores
2432,FALSE,Scholarship Program,Programa de becas
2433,FALSE,Mentors in Schools,Mentores en escuelas
2434,FALSE,Contact Us,Contacto
2435,FALSE,Family Unlimited Promo,Promoción Familia sin límites
2436,FALSE,Popular Plans,Planes populares
2437,FALSE,See all plans,Ve los planes
2438,FALSE,Award-Recognized Wireless Service,Servicio celular ganador de premios
2439,FALSE,Hot Features,Funciones de moda
2440,FALSE,Unlimited Text Messaging,Mensajes de texto sin límites
2441,FALSE,"Ringtones, Pics, and Games","Tonos de timbre, fotos y juegos"
2442,FALSE,Learn about ChatLINK,Conoce sobre ChatLINK
